Country.of.Origin;Variety;Processing.Method;Moisture;Category.One.Defects;Color;Category.Two.Defects;altitude_mean_meters;Cupper.Points
China;Catimor;Washed / Wet;0.1;0;Green;0;1450;8.42
Costa Rica;Caturra;Washed / Wet;0.11;0;Green;2;1300;8.33
Brazil;Bourbon;Natural / Dry;0.12;0;Green;2;1250;7.92
Uganda;SL14;Washed / Wet;0.12;0;Green;1;1950;8.17
Brazil;Bourbon;Natural / Dry;0.12;0;Green;2;1300;8
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1300;8.42
Kenya;SL34;Washed / Wet;0.12;0;Bluish-Green;1;1800;8.08
Thailand;Caturra;Washed / Wet;0.1;1;Green;9;1300;8.42
Taiwan;Bourbon;Semi-washed / Semi-pulped;0.12;0;Green;0;1000;8.42
Kenya;SL28;Natural / Dry;0.11;0;Bluish-Green;2;1754;8
Brazil;Bourbon;Semi-washed / Semi-pulped;0.11;0;Bluish-Green;2;1250;8
Colombia;Caturra;Washed / Wet;0.12;1;Green;1;1200;8.17
Kenya;SL28;Washed / Wet;0.11;0;Green;1;1860;8.17
Uganda;SL14;Natural / Dry;0.12;0;Green;0;1650;8
Colombia;Caturra;Washed / Wet;0;1;Bluish-Green;0;1800;7.92
Panama;Gesha;Washed / Wet;0.08;0;Bluish-Green;0;1600;8
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;3;1524;8
Guatemala;Catuai;Washed / Wet;0.1;0;Bluish-Green;1;1417.32;8
El Salvador;Bourbon;Washed / Wet;0.1;0;Bluish-Green;3;1500;8
Kenya;SL28;Natural / Dry;0.1;0;Green;3;1900;8
Uganda;SL14;Washed / Wet;0.12;0;Green;1;1600;8.08
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;1;1731.264;7.83
Uganda;SL14;Washed / Wet;0.12;0;Green;5;1950;8
Brazil;Bourbon;Semi-washed / Semi-pulped;0.11;0;Bluish-Green;1;1250;8
China;Catimor;Natural / Dry;0.1;0;Green;0;1700;7.92
Guatemala;Pacamara;Natural / Dry;0.11;0;Green;1;1770;7.83
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1300;8
Costa Rica;Caturra;Washed / Wet;0.1;0;Bluish-Green;2;1300;7.92
Kenya;SL34;Washed / Wet;0;0;Green;2;1600;7.92
Kenya;SL34;Washed / Wet;0;0;Green;6;1200;7.83
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1550;7.92
Colombia;Caturra;Natural / Dry;0.12;0;Green;2;1550;7.92
Indonesia;Sumatra Lintong;Semi-washed / Semi-pulped;0.11;0;Green;3;1325;8
Colombia;Caturra;Natural / Dry;0.11;0;Green;8;2136;8.08
Uganda;SL14;Washed / Wet;0.11;0;Green;1;1800;8
Costa Rica;Catuai;Washed / Wet;0.12;1;Green;1;1900;7.92
Mexico;Typica;Washed / Wet;0.09;0;Green;3;1300;8.08
Kenya;SL34;Washed / Wet;0;0;Green;5;1580;7.83
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;3;1100;8
Colombia;Caturra;Washed / Wet;0.12;0;Green;1;1775;7.83
Taiwan;Typica;Semi-washed / Semi-pulped;0.11;0;Green;0;800;7.92
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.92
Brazil;Bourbon;Natural / Dry;0.11;0;Green;2;1200;7.75
Brazil;Catuai;Natural / Dry;0.12;0;Green;2;1000;7.92
Taiwan;Typica;Natural / Dry;0;0;Green;0;350;8
Uganda;SL14;Natural / Dry;0.12;0;Green;1;1650;7.83
Kenya;SL34;Washed / Wet;0.13;0;Green;0;1800;7.92
Honduras;Catuai;Washed / Wet;0.11;0;Green;4;1450;8.17
El Salvador;Bourbon;Washed / Wet;0;0;Bluish-Green;2;1350;8
Indonesia;Java;Washed / Wet;0.12;0;Green;7;1200;7.92
Japan;Mundo Novo;Pulped natural / honey;0.12;0;Green;0;170;8.08
Costa Rica;Catuai;Washed / Wet;0.1;0;Bluish-Green;2;1150;7.92
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1600;7.83
Costa Rica;Caturra;Washed / Wet;0.12;0;Green;0;1750;7.92
Costa Rica;Catuai;Washed / Wet;0.11;0;Green;4;1200;8
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;1000;7.75
Colombia;Caturra;Washed / Wet;0;0;Green;0;1550;7.92
Kenya;SL28;Washed / Wet;0.11;0;Bluish-Green;0;2000;7.83
